Date,Open,High,Low,Close,Adj Close,Volume
11/10/2010,1908.55,1909.01,1885.08,1889.91,1889.91,340200
12/10/2010,1892.27,1893.13,1857.93,1868.04,1868.04,314600
13/10/2010,1878.58,1881.2,1866.41,1876.15,1876.15,317800
14/10/2010,1886.68,1899.76,1884.45,1899.76,1899.76,374200
15/10/2010,1898.85,1903.25,1893.76,1902.29,1902.29,368600
18/10/2010,1904.57,1904.79,1875.42,1875.42,1875.42,371400
19/10/2010,1878.98,1885.23,1857.32,1857.32,1857.32,426000
20/10/2010,1844.41,1875.76,1837.08,1870.44,1870.44,364600
21/10/2010,1878.51,1879.08,1858.38,1874.69,1874.69,412000
22/10/2010,1882.08,1897.31,1880.25,1897.31,1897.31,346400
25/10/2010,1902.51,1918.87,1899.08,1915.71,1915.71,405400
26/10/2010,1913.25,1919.56,1909.27,1919.41,1919.41,350000
27/10/2010,1919.48,1924.61,1902.18,1909.54,1909.54,391600
28/10/2010,1909.38,1914.89,1901.8,1907.87,1907.87,347600
29/10/2010,1913.61,1913.95,1875.31,1882.95,1882.95,374600
01/11/2010,1889.57,1914.74,1880.25,1914.74,1914.74,340000
03/11/2010,1931.13,1943.23,1930.11,1935.97,1935.97,356800
04/11/2010,1941.56,1945.58,1936.04,1942.5,1942.5,319000
05/11/2010,1962.34,1966.99,1938.57,1938.96,1938.96,398200
08/11/2010,1946.76,1948.44,1930.29,1942.41,1942.41,306800
09/11/2010,1943.56,1947.66,1935.38,1947.46,1947.46,290800
10/11/2010,1945.73,1967.85,1945.28,1967.85,1967.85,339400
11/11/2010,1966.5,1976.46,1914.73,1914.73,1914.73,364400
12/11/2010,1951.35,1958.22,1899.49,1913.12,1913.12,447400
15/11/2010,1918.69,1925.43,1900.25,1913.81,1913.81,293600
16/11/2010,1912.11,1916.07,1890,1899.13,1899.13,330400
17/11/2010,1877.23,1908.17,1875.34,1897.11,1897.11,285800
18/11/2010,1908.38,1929.24,1904.37,1927.86,1927.86,268600
19/11/2010,1936.74,1940.96,1927.81,1940.96,1940.96,289200
22/11/2010,1947.01,1954.78,1939.51,1944.34,1944.34,326000
23/11/2010,1938.91,1943.48,1919.15,1928.94,1928.94,374800
24/11/2010,1883.92,1928.45,1882.52,1925.98,1925.98,449000
25/11/2010,1934.97,1935.59,1916.16,1927.68,1927.68,321800
26/11/2010,1932.78,1936.72,1893.94,1901.8,1901.8,459000
29/11/2010,1904.95,1912.53,1880.58,1895.54,1895.54,297600
30/11/2010,1889.89,1917.57,1889.86,1904.63,1904.63,428400
01/12/2010,1907.7,1929.32,1904.71,1929.32,1929.32,331400
02/12/2010,1943.71,1950.26,1940.23,1950.26,1950.26,431600
03/12/2010,1960.61,1960.61,1948.51,1957.26,1957.26,434400
06/12/2010,1961.23,1961.47,1946.35,1953.64,1953.64,456200
07/12/2010,1955.63,1964.64,1952.56,1962.52,1962.52,635600
08/12/2010,1960.3,1970.91,1953.97,1955.72,1955.72,491200
09/12/2010,1963.88,1988.96,1961.68,1988.96,1988.96,446400
10/12/2010,1984.11,1991.96,1979.73,1986.14,1986.14,371600
13/12/2010,1993.42,1997.36,1983.93,1996.59,1996.59,382600
14/12/2010,2000.6,2009.05,1996.82,2009.05,2009.05,394400
15/12/2010,2009.2,2017.48,2004.06,2017.48,2017.48,488600
16/12/2010,2009.86,2019.49,2002.33,2009.24,2009.24,360800
17/12/2010,2018.28,2027.55,2010.75,2026.3,2026.3,501400
20/12/2010,2008.14,2021.7,1996.44,2020.28,2020.28,407200
21/12/2010,2035.11,2043.81,2032.66,2037.09,2037.09,368600
22/12/2010,2039.35,2045.39,2035.25,2038.11,2038.11,332400
23/12/2010,2042.41,2043.62,2028.78,2037.53,2037.53,339000
24/12/2010,2040.64,2042.89,2027.96,2029.6,2029.6,316200
27/12/2010,2024.56,2034.62,2018.75,2022.19,2022.19,279200
28/12/2010,2028.41,2041.83,2026.57,2033.32,2033.32,357400
29/12/2010,2028.57,2043.49,2027.52,2043.49,2043.49,281200
30/12/2010,2047.82,2052.97,2041.66,2051,2051,304400
03/01/2011,2063.69,2070.09,2054.83,2070.08,2070.08,348200
04/01/2011,2074.56,2085.14,2069.12,2085.14,2085.14,411000
05/01/2011,2083.1,2087.14,2076.92,2082.55,2082.55,383000
06/01/2011,2094.35,2096.65,2066.1,2077.61,2077.61,405400
07/01/2011,2073.68,2086.2,2068.66,2086.2,2086.2,333800
10/01/2011,2082.29,2088.64,2069.3,2080.81,2080.81,340800
11/01/2011,2079.85,2088.32,2059.67,2088.32,2088.32,408200
12/01/2011,2091.7,2098,2085.99,2094.95,2094.95,427200
13/01/2011,2097.04,2109.34,2083.8,2089.48,2089.48,421800
14/01/2011,2089.7,2108.17,2076.44,2108.17,2108.17,422600
17/01/2011,2112.37,2118.86,2099.84,2099.85,2099.85,426600
18/01/2011,2095.85,2111.4,2093.32,2096.48,2096.48,450800
19/01/2011,2106.53,2119.24,2084.08,2115.69,2115.69,423800
20/01/2011,2111.41,2114.2,2102.61,2106.66,2106.66,333200
21/01/2011,2103.74,2104.39,2066.82,2069.92,2069.92,393800
24/01/2011,2067.32,2082.97,2064,2082.16,2082.16,338800
25/01/2011,2092.27,2105.33,2083.8,2086.67,2086.67,400800
26/01/2011,2093.59,2112.33,2092.41,2110.46,2110.46,364000
27/01/2011,2115.04,2121.06,2108.53,2115.01,2115.01,352400
28/01/2011,2115.69,2119.49,2095.36,2107.87,2107.87,403400
31/01/2011,2080.6,2089.72,2069.73,2069.73,2069.73,321000
01/02/2011,2079.92,2086.56,2071.73,2072.03,2072.03,290800
07/02/2011,2102.76,2107.83,2081.73,2081.74,2081.74,286000
08/02/2011,2090.47,2092.43,2066.71,2069.7,2069.7,300400
09/02/2011,2077.12,2077.12,2037.3,2045.58,2045.58,333200
10/02/2011,2041.07,2043.07,2008.5,2008.5,2008.5,309800
11/02/2011,2010.29,2021.42,1975.47,1977.19,1977.19,317200
14/02/2011,1999.09,2015.84,1986.94,2014.59,2014.59,279600
16/02/2011,2007.08,2021.69,1989.11,1989.11,1989.11,297600
17/02/2011,2002,2006.59,1959.71,1977.22,1977.22,340200
18/02/2011,1989.24,2015.78,1981.75,2013.14,2013.14,494000
21/02/2011,2014.15,2014.98,1991.7,2005.3,2005.3,324200
22/02/2011,1978.34,1982.7,1958.77,1969.92,1969.92,346000
23/02/2011,1962.7,1977.99,1951.75,1961.63,1961.63,308600
24/02/2011,1957.63,1970.66,1945.41,1949.88,1949.88,281600
25/02/2011,1956.02,1965.48,1941.15,1963.43,1963.43,306800
28/02/2011,1954.4,1958.59,1935.93,1939.3,1939.3,263800
02/03/2011,1922.38,1940.78,1921.34,1928.24,1928.24,207600
03/03/2011,1942.24,1970.66,1941.23,1970.66,1970.66,284800
04/03/2011,1989.88,2008.89,1984.15,2004.68,2004.68,334600
07/03/2011,1996.48,2005.43,1978.13,1980.27,1980.27,256000
08/03/2011,1984.08,2007.24,1974.73,1996.32,1996.32,304800
09/03/2011,2007.79,2016.68,1991.52,2001.47,2001.47,315400
10/03/2011,1999.38,2001.27,1973.88,1981.58,1981.58,288400
11/03/2011,1956.34,1970.7,1949.32,1955.54,1955.54,267200
14/03/2011,1949.08,1971.23,1928.99,1971.23,1971.23,388600
15/03/2011,1966.82,1985.82,1882.09,1923.92,1923.92,403800
16/03/2011,1951.68,1965.15,1931.38,1957.97,1957.97,284400
17/03/2011,1921.59,1961.09,1919.13,1959.03,1959.03,305800
18/03/2011,1963.17,1988.04,1960.49,1981.13,1981.13,291200
21/03/2011,1985.47,2005.32,1985.15,2003.42,2003.42,292200
22/03/2011,2012.48,2016.27,2004.36,2013.66,2013.66,304200
23/03/2011,2019.18,2022.14,2005.59,2012.18,2012.18,312600
24/03/2011,2022.26,2036.93,2022.08,2036.78,2036.78,295400
25/03/2011,2058.35,2060.29,2041.72,2054.04,2054.04,311200
28/03/2011,2054.28,2059.92,2043.99,2056.39,2056.39,285400
29/03/2011,2052.87,2072.13,2050.09,2072.13,2072.13,250400
30/03/2011,2075.91,2100.2,2074.26,2091.38,2091.38,316800
31/03/2011,2098.09,2106.74,2089.12,2106.7,2106.7,317800
01/04/2011,2107.67,2121.02,2101.83,2121.01,2121.01,338000
04/04/2011,2124.37,2125.53,2103.82,2115.87,2115.87,301800
05/04/2011,2118.08,2130.43,2107.78,2130.43,2130.43,327600
06/04/2011,2129.13,2136.29,2119.66,2126.71,2126.71,423000
07/04/2011,2133.31,2135.73,2111.54,2122.14,2122.14,382800
08/04/2011,2119.01,2135.98,2118.72,2127.97,2127.97,392800
11/04/2011,2127.2,2135.33,2115.89,2122.39,2122.39,316000
12/04/2011,2117.21,2117.21,2088.67,2089.4,2089.4,311200
13/04/2011,2091.68,2121.93,2081.98,2121.92,2121.92,348000
14/04/2011,2116.49,2141.07,2109.63,2141.06,2141.06,371800
15/04/2011,2136.27,2142.71,2126.59,2140.5,2140.5,356600
18/04/2011,2146.83,2149.45,2128.02,2137.72,2137.72,358200
19/04/2011,2117.94,2136.95,2111.6,2122.68,2122.68,375000
20/04/2011,2146.38,2169.94,2138.8,2169.91,2169.91,374400
21/04/2011,2190.64,2211.36,2183.52,2198.54,2198.54,416000
22/04/2011,2203.04,2208.06,2190.87,2197.82,2197.82,390800
25/04/2011,2205.2,2218.07,2199.27,2216,2216,354000
26/04/2011,2219.47,2222.56,2196.76,2206.3,2206.3,439400
27/04/2011,2225.95,2231.47,2191.82,2206.7,2206.7,423200
28/04/2011,2215.42,2225.35,2194.15,2208.35,2208.35,354800
29/04/2011,2211.33,2219.6,2177.8,2192.36,2192.36,364200
02/05/2011,2203.09,2229.09,2202.92,2228.96,2228.96,302400
03/05/2011,2224.4,2228.04,2188.11,2200.73,2200.73,375200
04/05/2011,2196.9,2201.69,2173.21,2180.64,2180.64,393800
06/05/2011,2153.5,2156.81,2133.97,2147.45,2147.45,344200
09/05/2011,2157.95,2161.93,2136.59,2139.17,2139.17,254000
11/05/2011,2161.44,2166.63,2144.94,2166.63,2166.63,378000
12/05/2011,2139.24,2149.42,2122.6,2122.65,2122.65,382200
13/05/2011,2133.99,2134.53,2103.06,2120.08,2120.08,397000
16/05/2011,2104.67,2115.25,2097.16,2104.18,2104.18,273600
17/05/2011,2103.82,2111.44,2092.32,2102.41,2102.41,300800
18/05/2011,2110.7,2138.72,2106.41,2135.78,2135.78,260000
19/05/2011,2141.29,2143.41,2092.61,2095.51,2095.51,283400
20/05/2011,2101.45,2112.48,2084.06,2111.5,2111.5,282800
23/05/2011,2100.44,2100.44,2055.71,2055.71,2055.71,293000
24/05/2011,2052.44,2070.64,2048.55,2061.76,2061.76,268600
25/05/2011,2073.53,2082.12,2030.68,2035.87,2035.87,345000
26/05/2011,2059.93,2094.35,2056.49,2091.91,2091.91,296600
27/05/2011,2087.36,2111.36,2085.24,2100.24,2100.24,272800
30/05/2011,2115.27,2116.13,2085.75,2093.79,2093.79,213200
31/05/2011,2104.16,2146.79,2102.77,2142.47,2142.47,303200
01/06/2011,2142.67,2152.95,2132.85,2141.34,2141.34,294800
02/06/2011,2098.37,2126.8,2093.97,2114.2,2114.2,248800
03/06/2011,2123.47,2131.93,2108.75,2113.47,2113.47,264200
07/06/2011,2093.45,2106.85,2091.26,2099.71,2099.71,246600
08/06/2011,2102.97,2109.11,2068.78,2083.35,2083.35,281400
09/06/2011,2076.7,2088.82,2067.58,2071.42,2071.42,283600
10/06/2011,2085.85,2093.94,2045.24,2046.67,2046.67,265800
13/06/2011,2030.54,2057.65,2025.42,2048.74,2048.74,218400
14/06/2011,2045.22,2082.25,2040.69,2076.83,2076.83,209600
15/06/2011,2087.96,2091,2064.82,2086.53,2086.53,229200
16/06/2011,2057.16,2068.17,2043.81,2046.63,2046.63,234200
