"","Date","Open","High","Close","WTI","Gold","Sentiment"
"1",2010-01-04,1116.560059,1133.869995,1132.98999,81.52,1285.25,-0.114130434782609
"2",2010-01-05,1132.660034,1136.630005,1136.52002,81.74,1286.75,0.048582995951417
"3",2010-01-06,1135.709961,1139.189941,1137.140015,83.12,1299,-0.0564516129032258
"4",2010-01-07,1136.27002,1142.459961,1141.689941,82.6,1299,-0.073469387755102
"5",2010-01-08,1140.52002,1145.390015,1144.97998,82.74,1301.5,0.00404858299595142
"6",2010-01-11,1145.959961,1149.73999,1146.97998,82.54,1298,-0.112903225806452
"7",2010-01-12,1143.810059,1143.810059,1136.219971,80.79,1325.75,-0.120967741935484
"8",2010-01-13,1137.310059,1148.400024,1145.680054,79.66,1318,-0.0122950819672131
"9",2010-01-14,1145.680054,1150.410034,1148.459961,79.35,1320.5,-0.0403225806451613
"10",2010-01-15,1147.719971,1147.77002,1136.030029,77.96,1301.75,-0.0569105691056911
"11",2010-01-19,1136.030029,1150.449951,1150.22998,78.98,1309.5,-0.0282258064516129
"12",2010-01-20,1147.949951,1147.949951,1138.040039,77.42,1299,-0.040650406504065
"13",2010-01-21,1138.680054,1141.579956,1116.47998,75.84,1297.25,-0.0202429149797571
"14",2010-01-22,1115.48999,1115.48999,1091.76001,74.25,1284,-0.133064516129032
"15",2010-01-25,1092.400024,1102.969971,1096.780029,74.9,1292,-0.112903225806452
"16",2010-01-26,1095.800049,1103.689941,1092.170044,74.67,1283.75,0.048
"17",2010-01-27,1091.939941,1099.51001,1097.5,73.64,1291.75,0.0365853658536585
"18",2010-01-28,1096.930054,1100.219971,1084.530029,73.62,1294.75,0.0364372469635627
"19",2010-01-29,1087.609985,1096.449951,1073.869995,72.85,1296,-0.153225806451613
"20",2010-02-01,1073.890015,1089.380005,1089.189941,74.41,1304,-0.00816326530612245
"21",2010-02-02,1090.050049,1104.72998,1103.319946,77.21,1313.5,0.00813008130081301
"22",2010-02-03,1100.670044,1102.719971,1097.280029,76.96,1310.75,-0.132530120481928
"23",2010-02-04,1097.25,1097.25,1063.109985,73.13,1336,-0.0401606425702811
"24",2010-02-05,1064.119995,1067.130005,1066.189941,71.15,1327,-0.0967741935483871
"25",2010-02-08,1065.51001,1071.199951,1056.73999,71.87,1338,-0.145228215767635
"26",2010-02-09,1060.060059,1079.280029,1070.52002,73.71,1355.75,-0.141129032258065
"27",2010-02-10,1069.680054,1073.670044,1068.130005,74.48,1378.5,0.00806451612903226
"28",2010-02-11,1067.099976,1080.040039,1078.469971,75.23,1385,-0.10655737704918
"29",2010-02-12,1075.949951,1077.810059,1075.51001,74.11,1368.75,-0.0778688524590164
"30",2010-02-16,1079.130005,1095.670044,1094.869995,76.98,1366,-0.0121951219512195
"31",2010-02-17,1096.140015,1101.030029,1099.51001,77.27,1346.25,-0.124497991967871
"32",2010-02-18,1099.030029,1108.23999,1106.75,78.97,1344,-0.125506072874494
"33",2010-02-19,1105.48999,1112.420044,1109.170044,79.77,1335.25,-0.0653061224489796
"34",2010-02-22,1110,1112.290039,1108.01001,80.04,1345.25,-0.0283400809716599
"35",2010-02-23,1107.48999,1108.579956,1094.599976,78.61,1337,-0.0120967741935484
"36",2010-02-24,1095.890015,1106.420044,1105.23999,79.75,1334.75,-0.0894308943089431
"37",2010-02-25,1101.23999,1103.5,1102.939941,77.99,1349.5,0.0491803278688525
